2011, 257, 2, 19, 0, 54, 1
2011, 257, 2, 19, 0, 55, 1
2011, 257, 2, 19, 0, 56, 4
2011, 257, 2, 19, 0, 57, 3
2011, 257, 2, 19, 0, 58, 0
2011, 257, 2, 19, 0, 59, 4
2011, 257, 2, 19, 0, 60, 0
2011, 257, 2, 19, 0, 61, 0
2011, 257, 2, 19, 0, 62, 0
2011, 257, 2, 19, 0, 63, 0
2011, 257, 2, 19, 0, 64, 0
2011, 257, 2, 19, 0, 65, 0
2011, 257, 2, 19, 0, 66, 0
2011, 257, 2, 19, 0, 67, 0
2011, 257, 2, 19, 0, 68, 0
2011, 257, 2, 19, 0, 69, 0
2011, 257, 2, 19, 0, 70, 0
2011, 257, 2, 19, 0, 71, 0
2011, 257, 2, 19, 0, 72, 0
2011, 257, 2, 19, 0, 73, 0
2011, 257, 2, 19, 0, 74, 0
2011, 257, 2, 19, 0, 75, 0
2011, 257, 2, 19, 0, 76, 0
2011, 257, 2, 19, 0, 77, 0
2011, 257, 2, 19, 0, 78, 0
2011, 257, 2, 19, 0, 79, 0
2011, 257, 2, 19, 0, 80, 0
2011, 257, 2, 19, 0, 81, 0
2011, 257, 2, 19, 0, 82, 0
2011, 257, 2, 19, 0, 83, 0
2011, 257, 2, 19, 0, 84, 0
2011, 257, 2, 19, 0, 85, 0
2011, 257, 2, 19, 0, 86, 0
2011, 257, 2, 19, 0, 87, 0
2011, 257, 2, 19, 0, 88, 0
2011, 257, 2, 19, 0, 89, 0
2011, 257, 2, 19, 0, 90, 0
2011, 257, 2, 19, 0, 91, 0
2011, 257, 2, 19, 0, 92, 0
2011, 257, 2, 19, 0, 93, 0
2011, 257, 2, 19, 0, 94, 0
2011, 257, 2, 19, 0, 95, 0
2011, 257, 2, 19, 0, 96, 0
2011, 257, 2, 19, 0, 97, 0
2011, 257, 2, 19, 0, 98, 0
2011, 257, 2, 19, 0, 99, 0
2011, 257, 2, 19, 0, 100, 0
2011, 257, 2, 19, 0, 101, 0
2011, 257, 2, 19, 0, 102, 0
2011, 257, 2, 19, 0, 103, 0
2011, 257, 2, 19, 0, 104, 0
2011, 257, 2, 19, 0, 105, 0
2011, 257, 2, 19, 0, 106, 0
2011, 257, 2, 19, 0, 107, 0
2011, 257, 2, 19, 0, 108, 0
2011, 257, 2, 19, 0, 109, 0
2011, 257, 2, 19, 0, 110, 0
2011, 257, 2, 19, 0, 111, 0
2011, 257, 2, 19, 0, 112, 0
2011, 257, 2, 19, 0, 113, 0
2011, 257, 2, 19, 0, 114, 0
2011, 257, 2, 19, 0, 115, 0
2011, 257, 2, 19, 0, 116, 0
2011, 257, 2, 19, 0, 117, 0
2011, 257, 2, 19, 0, 118, 0
2011, 257, 2, 19, 0, 119, 0
2011, 257, 2, 19, 0, 120, 0
2011, 257, 2, 19, 0, 121, 0
2011, 257, 2, 19, 0, 122, 0
2011, 257, 2, 19, 0, 123, 0
2011, 257, 2, 19, 0, 124, 0
2011, 257, 2, 19, 0, 125, 0
2011, 257, 2, 19, 0, 126, 0
2011, 257, 2, 19, 0, 127, 0
2011, 257, 2, 19, 0, 128, 0
2011, 257, 2, 19, 0, 129, 0
2011, 257, 2, 19, 0, 130, 0
2011, 257, 2, 19, 0, 131, 0
2011, 257, 2, 19, 0, 132, 0
2011, 257, 2, 19, 0, 133, 0
2011, 257, 2, 19, 0, 134, 0
2011, 257, 2, 19, 0, 135, 0
2011, 257, 2, 19, 0, 136, 0
2011, 257, 2, 19, 0, 137, 0
2011, 257, 2, 19, 0, 138, 0
2011, 257, 2, 19, 0, 139, 0
2011, 257, 2, 19, 0, 140, 0
2011, 257, 2, 19, 0, 141, 0
2011, 257, 2, 19, 0, 142, 0
2011, 257, 2, 19, 0, 143, 0
2011, 257, 2, 19, 0, 144, 0
2011, 257, 2, 19, 0, 145, 0
2012, 265, 4, 0, 0, 0, 0
2012, 265, 4, 0, 0, 1, 0
2012, 265, 4, 0, 0, 2, 0
2012, 265, 4, 0, 0, 3, 0
2012, 265, 4, 0, 0, 4, 0
2012, 265, 4, 0, 0, 5, 0
2012, 265, 4, 0, 0, 6, 0
2012, 265, 4, 0, 0, 7, 0
2012, 265, 4, 0, 0, 8, 0
2012, 265, 4, 0, 0, 9, 1
2012, 265, 4, 0, 0, 10, 0
2012, 265, 4, 0, 0, 11, 0
2012, 265, 4, 0, 0, 12, 1
2012, 265, 4, 0, 0, 13, 0
2012, 265, 4, 0, 0, 14, 2
2012, 265, 4, 0, 0, 15, 0
2012, 265, 4, 0, 0, 16, 1
2012, 265, 4, 0, 0, 17, 0
2012, 265, 4, 0, 0, 18, 0
2012, 265, 4, 0, 0, 19, 0
2012, 265, 4, 0, 0, 20, 0
2012, 265, 4, 0, 0, 21, 0
2012, 265, 4, 0, 0, 22, 0
2012, 265, 4, 0, 0, 23, 0
2012, 265, 4, 0, 0, 24, 0
2012, 265, 4, 0, 0, 25, 0
2012, 265, 4, 0, 0, 26, 1
2012, 265, 4, 0, 0, 27, 1
2012, 265, 4, 0, 0, 28, 0
2012, 265, 4, 0, 0, 29, 0
2012, 265, 4, 0, 0, 30, 0
2012, 265, 4, 0, 0, 31, 0
2012, 265, 4, 0, 0, 32, 0
2012, 265, 4, 0, 0, 33, 1
2012, 265, 4, 0, 0, 34, 0
2012, 265, 4, 0, 0, 35, 0
2012, 265, 4, 0, 0, 36, 2
2012, 265, 4, 0, 0, 37, 0
2012, 265, 4, 0, 0, 38, 0
2012, 265, 4, 0, 0, 39, 0
2012, 265, 4, 0, 0, 40, 0
2012, 265, 4, 0, 0, 41, 1
2012, 265, 4, 0, 0, 42, 1
2012, 265, 4, 0, 0, 43, 0
2012, 265, 4, 0, 0, 44, 1
2012, 265, 4, 0, 0, 45, 0
2012, 265, 4, 0, 0, 46, 0
2012, 265, 4, 0, 0, 47, 0
2012, 265, 4, 0, 0, 48, 0
2012, 265, 4, 0, 0, 49, 0
2012, 265, 4, 0, 0, 50, 0
2012, 265, 4, 0, 0, 51, 0
2012, 265, 4, 0, 0, 52, 0
2012, 265, 4, 0, 0, 53, 2
2012, 265, 4, 0, 0, 54, 2
2012, 265, 4, 0, 0, 55, 2
2012, 265, 4, 0, 0, 56, 0
2012, 265, 4, 0, 0, 57, 0
2012, 265, 4, 0, 0, 58, 0
2012, 265, 4, 0, 0, 59, 1
2012, 265, 4, 0, 0, 60, 1
2012, 265, 4, 0, 0, 61, 1
2012, 265, 4, 0, 0, 62, 0
2012, 265, 4, 0, 0, 63, 0
2012, 265, 4, 0, 0, 64, 1
2012, 265, 4, 0, 0, 65, 0
2012, 265, 4, 0, 0, 66, 0
2012, 265, 4, 0, 0, 67, 2
2012, 265, 4, 0, 0, 68, 1
2012, 265, 4, 0, 0, 69, 0
2012, 265, 4, 0, 0, 70, 0
2012, 265, 4, 0, 0, 71, 0
2012, 265, 4, 0, 0, 72, 0
2012, 265, 4, 0, 0, 73, 0
2012, 265, 4, 0, 0, 74, 0
2012, 265, 4, 0, 0, 75, 3
2012, 265, 4, 0, 0, 76, 0
2012, 265, 4, 0, 0, 77, 0
2012, 265, 4, 0, 0, 78, 0
2012, 265, 4, 0, 0, 79, 0
2012, 265, 4, 0, 0, 80, 0
2012, 265, 4, 0, 0, 81, 0
2012, 265, 4, 0, 0, 82, 0
2012, 265, 4, 0, 0, 83, 0
2012, 265, 4, 0, 0, 84, 0
2012, 265, 4, 0, 0, 85, 0
2012, 265, 4, 0, 0, 86, 0
2012, 265, 4, 0, 0, 87, 0
2012, 265, 4, 0, 0, 88, 0
2012, 265, 4, 0, 0, 89, 0
2012, 265, 4, 0, 0, 90, 0
2012, 265, 4, 0, 0, 91, 1
2012, 265, 4, 0, 0, 92, 0
2012, 265, 4, 0, 0, 93, 0
2012, 265, 4, 0, 0, 94, 0
2012, 265, 4, 0, 0, 95, 0
2012, 265, 4, 0, 0, 96, 0
2012, 265, 4, 0, 0, 97, 0
2012, 265, 4, 0, 0, 98, 0
2012, 265, 4, 0, 0, 99, 0
2012, 265, 4, 0, 0, 100, 0
2012, 265, 4, 0, 0, 101, 0
2012, 265, 4, 0, 0, 102, 0
2012, 265, 4, 0, 0, 103, 0
2012, 265, 4, 0, 0, 104, 0
2012, 265, 4, 0, 0, 105, 0
2012, 265, 4, 0, 0, 106, 0
2012, 265, 4, 0, 0, 107, 0
2012, 265, 4, 0, 0, 108, 0
2012, 265, 4, 0, 0, 109, 0
2012, 265, 4, 0, 0, 110, 0
2012, 265, 4, 0, 0, 111, 0
2012, 265, 4, 0, 0, 112, 0
2012, 265, 4, 0, 0, 113, 0
2012, 265, 4, 0, 0, 114, 0
2012, 265, 4, 0, 0, 115, 0
2012, 265, 4, 0, 0, 116, 0
2012, 265, 4, 0, 0, 117, 0
2012, 265, 4, 0, 0, 118, 0
2012, 265, 4, 0, 0, 119, 0
2012, 265, 4, 0, 0, 120, 0
2012, 265, 4, 0, 0, 121, 0
2012, 265, 4, 0, 0, 122, 0
2012, 265, 4, 0, 0, 123, 0
2012, 265, 4, 0, 0, 124, 0
2012, 265, 4, 0, 0, 125, 0
2012, 265, 4, 0, 0, 126, 0
2012, 265, 4, 0, 0, 127, 0
2012, 265, 4, 0, 0, 128, 0
2012, 265, 4, 0, 0, 129, 0
2012, 265, 4, 0, 0, 130, 0
2012, 265, 4, 0, 0, 131, 0
2012, 265, 4, 0, 0, 132, 0
2012, 265, 4, 0, 0, 133, 0
2012, 265, 4, 0, 0, 134, 0
2012, 265, 4, 0, 0, 135, 0
2012, 265, 4, 0, 0, 136, 0
2012, 265, 4, 0, 0, 137, 0
2012, 265, 4, 0, 0, 138, 0
2012, 265, 4, 0, 0, 139, 0
2012, 265, 4, 0, 0, 140, 0
2012, 265, 4, 0, 0, 141, 0
2012, 265, 4, 0, 0, 142, 0
2012, 265, 4, 0, 0, 143, 0
2012, 265, 4, 0, 0, 144, 0
2012, 265, 4, 0, 0, 145, 0
2013, 212, 2, 9, 0, 0, 0
2013, 212, 2, 9, 0, 1, 0
2013, 212, 2, 9, 0, 2, 0
2013, 212, 2, 9, 0, 3, 1
2013, 212, 2, 9, 0, 4, 1
2013, 212, 2, 9, 0, 5, 2
2013, 212, 2, 9, 0, 6, 2
2013, 212, 2, 9, 0, 7, 2
2013, 212, 2, 9, 0, 8, 0
2013, 212, 2, 9, 0, 9, 2
2013, 212, 2, 9, 0, 10, 2
2013, 212, 2, 9, 0, 11, 0
2013, 212, 2, 9, 0, 12, 5
2013, 212, 2, 9, 0, 13, 0
2013, 212, 2, 9, 0, 14, 0
2013, 212, 2, 9, 0, 15, 0
2013, 212, 2, 9, 0, 16, 7
2013, 212, 2, 9, 0, 17, 1
2013, 212, 2, 9, 0, 18, 1
2013, 212, 2, 9, 0, 19, 2
2013, 212, 2, 9, 0, 20, 1
2013, 212, 2, 9, 0, 21, 5
2013, 212, 2, 9, 0, 22, 5
2013, 212, 2, 9, 0, 23, 0
2013, 212, 2, 9, 0, 24, 3
2013, 212, 2, 9, 0, 25, 3
2013, 212, 2, 9, 0, 26, 3
2013, 212, 2, 9, 0, 27, 0
2013, 212, 2, 9, 0, 28, 0
2013, 212, 2, 9, 0, 29, 0
2013, 212, 2, 9, 0, 30, 0
2013, 212, 2, 9, 0, 31, 1
2013, 212, 2, 9, 0, 32, 3
2013, 212, 2, 9, 0, 33, 8
2013, 212, 2, 9, 0, 34, 0
2013, 212, 2, 9, 0, 35, 0
2013, 212, 2, 9, 0, 36, 4
2013, 212, 2, 9, 0, 37, 0
2013, 212, 2, 9, 0, 38, 0
2013, 212, 2, 9, 0, 39, 3
2013, 212, 2, 9, 0, 40, 3
2013, 212, 2, 9, 0, 41, 3
2013, 212, 2, 9, 0, 42, 6
2013, 212, 2, 9, 0, 43, 8
2013, 212, 2, 9, 0, 44, 1
2013, 212, 2, 9, 0, 45, 7
2013, 212, 2, 9, 0, 46, 5
2013, 212, 2, 9, 0, 47, 2
2013, 212, 2, 9, 0, 48, 2
2013, 212, 2, 9, 0, 49, 2
2013, 212, 2, 9, 0, 50, 1
2013, 212, 2, 9, 0, 51, 1
2013, 212, 2, 9, 0, 52, 4
2013, 212, 2, 9, 0, 53, 3
2013, 212, 2, 9, 0, 54, 1
2013, 212, 2, 9, 0, 55, 2
2013, 212, 2, 9, 0, 56, 0
2013, 212, 2, 9, 0, 57, 2
2013, 212, 2, 9, 0, 58, 0
2013, 212, 2, 9, 0, 59, 0
2013, 212, 2, 9, 0, 60, 0
2013, 212, 2, 9, 0, 61, 0
2013, 212, 2, 9, 0, 62, 0
2013, 212, 2, 9, 0, 63, 3
2013, 212, 2, 9, 0, 64, 1
2013, 212, 2, 9, 0, 65, 1
2013, 212, 2, 9, 0, 66, 4
2013, 212, 2, 9, 0, 67, 5
2013, 212, 2, 9, 0, 68, 5
2013, 212, 2, 9, 0, 69, 2
2013, 212, 2, 9, 0, 70, 1
2013, 212, 2, 9, 0, 71, 1
2013, 212, 2, 9, 0, 72, 2
